"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"PLCD3",0,3,51,5,263,1,6,1,236,127,167,224,9,556,172,389,20,296,4,153,28,13,1,1,13,8,100,178,57,30,38,13,88,190,11,50,126,52,8,78,0
"FMNL3",0,2,43,20,1120,8,0,147,2741,878,553,320,36,2569,1205,1528,98,1570,16,350,60,239,4,289,298,59,2205,2383,84,850,74,510,1181,171,0,143,1424,110,7,2111,23
"AQP5",0,0,2,0,9,0,0,1,3,0,24,40,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,16,0,26,25,0,0,0,17,0,0,0
"RACGAP1",0,2,56,3,164,4,0,51,469,29,159,41,0,272,109,230,0,423,4,11,66,5,6,0,107,24,101,114,69,85,29,52,117,49,1,21,77,32,10,45,1
"OR7G1",0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,1,9,0,0,0,0,0,6,0,14,1,16,0,2,0,0,0,0,16,0,2,0
"LARP4",0,15,32,6,397,2,0,1,1128,326,195,86,6,536,71,687,0,365,4,154,84,16,1,34,318,34,645,454,122,90,29,62,185,120,7,46,466,47,2,547,2
"GRASP",0,0,6,0,110,0,0,0,76,56,44,0,0,120,59,21,0,35,1,12,8,25,4,1,59,5,126,208,6,45,9,0,198,5,0,38,209,25,0,117,0
"RAVER1",0,4,24,4,112,8,0,1,219,105,61,493,9,207,156,246,117,295,8,0,14,142,0,38,211,16,130,374,2,218,8,40,183,10,0,47,276,8,0,118,2
"KRT84",0,0,5,4,2,0,0,0,0,1,18,0,0,7,0,1,0,0,4,0,12,0,4,7,0,0,7,0,14,0,16,4,0,36,0,0,0,20,4,0,0
"KRT82",0,0,2,0,3,0,0,6,0,2,20,18,0,0,0,0,0,0,0,0,6,0,0,6,0,4,5,0,5,0,2,0,2,86,0,0,0,2,10,0,0
"SYCE2",0,0,7,0,93,0,0,6,34,34,10,24,0,24,10,214,0,59,1,13,5,16,0,0,26,0,49,41,6,16,0,18,32,65,0,1,20,0,0,40,0
