"","S942","S955","S952","S962","S958","T895","T909","T911","T913","S956","T902","T906","T908","S959","S960","T894","T904","T907","T898","T901","S945","S951","T912","T910","T905","T903","S941","S954","T918","S957","S946","T893","T919","S944","T914","S947","T916","T900","T917","T897","T915"
"TTC1",0,8,6,2,194,8,1,1,161,67,95,30,1,305,65,152,3,102,0,32,36,30,0,0,59,31,2160,887,41,261,26,294,27,25,4,51,588,26,0,2108,0
"MSH3",0,2,24,0,196,3,0,11,256,83,96,94,1,362,36,139,13,152,4,64,25,48,1,2,42,13,266,215,31,86,22,51,23,16,1,27,205,30,0,214,0
"RASGRF2",1,4,46,2,443,1,0,2,94,54,182,21,7,188,276,44,0,52,10,272,78,4,0,0,30,11,159,89,37,23,58,4,8,104,11,0,47,58,0,61,0
"GABRG2",0,0,25,0,0,0,0,9,0,0,70,0,4,0,0,0,0,0,3,0,35,1,0,0,0,2,34,0,35,1,8,0,0,65,14,0,0,8,0,0,0
"CCNG1",0,14,15,1,382,6,1,11,432,269,113,142,2,527,47,188,2,139,0,46,17,54,6,3,34,58,613,428,67,111,8,58,37,50,7,23,654,10,2,514,1
"POLR3G",0,2,12,0,31,1,0,1,165,22,74,0,2,53,5,31,0,12,2,3,11,0,0,0,9,10,50,18,18,3,15,0,7,9,0,2,16,16,0,12,2
"DROSHA",0,1,63,10,711,8,0,12,719,207,248,301,15,352,455,422,32,402,15,147,38,62,6,24,178,22,479,597,63,131,22,41,85,77,2,128,333,29,1,375,8
"CDH6",0,0,68,13,113,1,0,13,56,62,156,36,7,228,5,128,1,1469,24,2,43,0,8,6,31,42,117,33,81,28,35,0,9,107,0,14,14,82,8,20,14
"LMNB1",2,1,25,3,93,0,0,0,323,17,155,17,9,570,149,157,1,480,10,3,22,0,8,28,90,1,33,46,17,53,36,11,75,24,3,10,33,36,4,16,3
"ARRDC3",2,17,35,4,908,18,7,0,1193,339,556,68,22,568,261,493,4,676,1,237,89,99,6,48,388,46,4743,2113,68,254,21,322,46,164,7,236,814,28,0,4623,0
"GOLPH3",0,16,17,9,1040,10,3,29,842,257,290,184,8,334,345,375,55,498,2,149,25,31,8,40,312,36,605,568,68,127,10,77,178,64,1,127,695,12,0,553,6
"SUB1",1,22,18,12,835,4,0,6,805,349,305,22,13,457,212,429,5,300,14,85,52,54,9,5,170,41,781,485,118,128,63,50,62,194,17,116,432,63,0,638,25
"NPR3",6,0,16,0,79,0,0,0,107,22,110,18,7,6,6,10,1,1,9,12,60,170,6,135,0,32,1657,1743,46,1082,46,120,12,51,0,956,827,46,0,1602,0
"FAM172A",0,4,19,4,348,0,0,12,244,230,156,96,0,571,61,654,1,315,1,133,26,29,0,18,49,5,443,307,54,124,14,126,45,12,0,23,409,14,0,417,1
"SLC27A6",0,0,18,0,21,0,0,0,11,25,33,424,1,85,11,12,9,51,0,10,20,58,0,27,0,5,77,73,7,63,20,8,83,58,30,78,57,20,1,35,4
"TARS",1,58,32,5,642,17,1,52,531,135,350,67,7,269,230,348,2,258,8,40,72,11,7,23,195,120,479,581,208,116,55,56,166,185,30,79,303,66,1,286,1
"IRX4",0,1,9,0,4,1,1,18,1,0,35,2,1,6,4,0,22,0,4,5,11,0,0,0,0,6,22,1,14,3,10,0,6,30,0,0,0,10,0,0,0
"LNPEP",0,16,40,7,803,7,1,24,2106,582,582,330,22,2223,132,1665,15,1643,22,206,105,62,3,48,271,77,1519,1360,129,377,59,255,49,133,18,112,1159,65,3,1309,26
"PDE4D",0,14,49,2,379,14,0,20,186,1933,968,342,7,2926,97,4458,0,3689,4,216,85,121,2,0,576,34,1657,568,93,557,67,138,135,327,23,95,1189,73,2,1446,38
"RAD1",0,1,73,1,519,6,1,0,286,129,189,68,17,152,104,361,0,250,5,42,59,39,0,22,86,18,258,280,39,113,36,50,48,102,1,63,210,36,1,211,4
"BRIX1",0,5,38,1,316,1,0,13,171,69,139,11,4,63,83,105,0,112,0,6,26,1,0,0,72,8,148,116,44,48,30,0,48,48,9,16,57,32,0,109,0
"AGXT2",0,4,11,0,3,10,0,0,0,4,44,0,3,1,0,1,0,1,14,0,8,0,0,0,0,16,25,0,22,10,34,0,1,10,0,0,4,34,0,0,4
"PRLR",1,0,60,0,35,0,5,0,94,2575,177,176,30,3,14,23,0,4,7,0,59,0,8,0,0,31,85,123,60,6,28,0,75,26,24,3,21,33,0,14,6
"SLC12A7",1,1,96,10,629,6,6,13,367,193,186,319,16,238,92,398,23,297,0,50,38,80,0,20,261,17,747,1587,14,180,16,77,666,136,2,277,1409,16,0,722,1
"IL4",0,0,0,0,3,0,0,0,1,0,14,0,0,2,0,1,0,4,2,0,11,0,0,0,0,0,0,0,10,0,0,0,0,34,0,0,0,0,0,0,0
"RAD50",1,13,30,11,1163,8,0,9,792,432,332,173,5,1084,181,695,9,447,5,189,74,118,5,25,92,44,1006,837,48,319,30,115,104,226,9,45,860,33,1,879,2
"IL5",0,0,0,0,37,0,0,0,5,28,32,0,0,7,0,24,0,1,3,0,6,2,0,0,0,0,57,24,1,12,2,0,0,6,0,0,12,2,0,45,0
"ST8SIA4",0,0,16,0,42,0,0,1,312,31,89,17,12,259,7,31,0,96,4,28,41,0,3,0,14,0,35,53,30,97,29,1,22,8,0,0,105,29,1,23,16
"GNPDA1",0,15,19,0,328,2,0,2,455,181,185,39,1,349,97,259,2,125,0,45,17,20,1,3,108,25,289,241,32,82,14,46,39,118,2,30,230,34,0,219,30
"PCDH12",0,0,30,1,393,0,0,1,282,161,161,117,8,249,124,247,0,91,9,18,47,12,0,24,155,24,279,298,9,239,39,80,33,39,6,58,199,43,1,245,1
"SKP1",2,80,52,1,1585,8,2,8,952,581,467,173,9,1640,276,1002,4,657,9,289,84,71,5,49,174,130,1440,862,168,273,61,280,143,330,52,94,1136,85,1,1244,27
"NUP155",1,9,44,2,1017,8,0,38,759,254,266,151,31,508,445,519,28,613,22,85,56,151,0,132,380,37,604,581,99,338,28,136,330,73,37,135,452,34,2,499,20
"PPP2CA",0,50,33,1,534,11,0,12,751,278,358,18,11,965,126,451,0,318,2,74,86,22,7,36,76,101,592,413,173,104,41,58,39,165,35,11,279,43,1,411,10
"FGF1",0,24,22,4,16,0,0,0,26,31,71,0,7,11,0,25,0,19,6,366,23,49,0,8,0,40,621,98,26,160,24,172,14,222,0,22,448,24,0,595,10
"NR3C1",0,8,46,4,1632,6,5,39,1071,154,454,52,21,2205,127,928,55,797,8,505,54,30,19,7,246,59,717,776,93,180,53,115,87,129,7,170,735,53,8,596,21
"C5orf15",0,3,21,0,356,0,1,0,426,48,108,45,1,274,67,50,1,75,0,56,6,10,0,0,30,20,188,138,19,51,5,12,31,56,6,6,82,7,2,147,0
"PPWD1",0,2,12,0,281,0,0,3,320,233,115,34,11,511,56,238,2,126,1,62,8,19,0,1,40,8,470,275,31,44,6,20,19,12,1,22,296,6,0,439,1
"LIFR",1,0,65,8,1155,8,7,4,553,348,305,139,3,817,224,423,1,575,6,370,68,58,6,1,187,33,620,645,68,308,68,77,112,127,2,81,998,74,1,511,18
"TRIM23",0,1,20,0,166,3,0,1,170,104,178,0,5,254,28,132,1,108,3,47,21,21,0,1,23,8,222,140,21,47,9,14,10,18,1,16,150,12,0,182,0
"TRAPPC13",0,3,23,0,136,0,0,9,150,102,87,4,5,330,8,141,0,117,8,40,26,22,0,0,39,19,291,180,66,37,32,52,13,72,12,19,131,40,8,234,9
"C9",0,0,12,0,33,0,0,25,3,0,30,0,2,8,0,3,0,0,0,0,15,0,4,20,7,12,47,3,12,1,10,0,0,18,8,0,4,10,0,5,4
"SEC24A",0,7,33,1,941,2,0,0,820,242,248,135,14,911,283,362,114,206,1,83,37,38,0,17,222,20,612,319,55,138,27,131,45,135,26,54,401,31,10,494,6
"TXNDC15",0,0,22,3,754,0,3,12,363,312,271,314,2,734,204,502,106,365,6,149,8,342,16,140,335,15,770,469,25,298,30,274,99,66,9,163,918,34,2,721,2
"TTC33",0,0,0,0,142,1,0,10,66,35,57,4,10,58,23,75,0,58,1,8,9,1,0,0,17,1,127,114,4,22,2,20,17,7,1,20,79,5,0,90,0
"RARS",3,17,35,2,601,8,0,0,664,141,160,6,5,578,172,268,5,147,7,39,44,22,11,9,155,42,363,308,63,74,15,88,47,52,16,38,350,17,1,273,0
"WWC1",0,19,25,2,21,5,0,0,168,0,95,23,4,5,86,44,0,28,9,2,34,0,4,1,6,37,164,4,52,73,32,12,53,140,1,0,284,39,0,64,0
"H2AFY",2,40,63,2,3052,17,2,14,2359,1307,969,724,10,3997,1257,3410,18,3492,11,429,61,267,7,90,668,82,2202,1682,114,544,81,496,250,190,42,119,1590,86,6,1990,33
"TCERG1",0,19,38,2,1037,3,1,1,764,462,375,62,7,1053,231,591,0,519,19,145,63,16,1,119,232,27,714,776,84,167,24,100,143,154,12,66,567,39,3,604,12
"DPYSL3",2,6,40,11,4871,0,0,35,2229,2503,1967,950,18,2141,1542,9046,86,5105,34,14,23,37,22,17,1233,7,903,100,19,170,19,94,332,91,22,0,1162,36,14,831,5
"SMAD5",0,3,34,2,1353,1,2,3,1086,592,229,23,12,1098,128,547,58,436,2,252,56,52,7,17,153,35,1508,931,85,287,59,204,77,28,27,82,939,59,0,1398,2
"CSNK1A1",0,45,29,4,869,10,3,0,914,404,457,463,17,1371,283,910,31,577,5,119,43,115,25,70,388,85,958,902,137,301,29,127,145,145,23,124,762,42,2,785,5
"HMGXB3",1,15,66,22,878,0,0,8,776,300,323,171,11,762,466,450,100,450,7,37,45,87,5,10,312,36,574,857,45,294,31,93,218,135,4,52,620,33,1,481,23
"ERGIC1",5,18,91,5,1749,10,0,66,1644,762,418,678,16,2539,594,1010,51,985,0,314,80,112,43,36,540,65,1766,1137,106,553,88,410,296,207,18,276,2002,98,1,1619,1
"PDGFRB",0,0,81,8,7148,6,0,22,3684,632,942,199,6,1642,1523,1665,247,1834,17,380,10,16,14,26,1597,6,142,1055,15,53,33,66,337,64,0,12,362,38,7,129,11
"CDX1",0,0,1,0,11,4,0,0,3,8,13,7,0,0,4,10,0,3,0,0,0,0,0,0,0,4,19,0,6,0,16,0,1,5,0,0,0,16,0,0,0
"ATP6V0E1",1,51,9,1,423,27,0,13,583,117,153,234,1,486,56,319,12,207,0,59,56,32,0,0,120,97,619,325,194,157,23,141,45,137,35,104,704,27,2,501,2
"BNIP1",0,0,11,6,76,0,0,1,71,24,34,30,2,53,24,41,4,39,16,0,1,0,0,0,6,0,85,42,14,16,19,12,4,18,0,2,53,20,0,56,0
"STC2",0,2,8,0,42,1,1,0,53,13,129,60,13,70,55,261,0,55,0,19,43,0,3,37,34,5,18,47,32,5,34,7,44,87,11,0,122,35,0,1,10
"CPEB4",0,18,27,2,612,5,0,7,378,168,395,19,31,460,107,976,27,531,0,58,41,23,12,24,96,46,629,571,75,161,55,118,52,132,12,35,470,61,7,532,0
"HRH2",0,0,32,0,52,0,0,1,79,6,62,86,2,0,6,261,20,69,0,0,19,14,7,0,6,22,37,16,17,0,7,0,8,18,0,33,112,7,1,20,2
"DBN1",0,11,35,11,1535,12,3,27,674,527,245,885,9,2451,637,196,128,253,14,94,29,130,17,30,377,29,453,399,29,283,60,129,459,100,6,91,378,68,0,399,10
"ZNF346",0,1,20,0,412,0,0,0,232,184,50,0,3,480,71,235,1,244,10,59,10,52,5,52,46,11,315,364,23,143,26,91,35,106,1,21,218,26,4,261,30
"UNC5A",0,0,40,2,30,1,0,8,41,22,8,0,2,37,11,7,0,10,3,0,7,0,0,0,7,20,6,6,7,4,17,0,2,47,2,0,15,17,0,0,14
"EHHADH",2,3,30,1,48,0,0,0,137,10,80,65,8,44,10,37,0,40,1,1,21,0,0,0,14,13,82,30,46,17,4,4,6,6,1,1,20,4,0,44,0
"CNTN3",1,0,23,4,4,0,0,0,0,7,42,12,14,81,0,12,0,17,2,0,21,0,1,10,0,9,51,125,52,5,21,6,8,132,5,0,149,22,4,16,0
"SMC4",1,6,48,2,955,0,0,19,2094,268,235,62,15,2278,431,1246,20,1463,0,100,29,108,9,28,108,27,1647,372,79,190,21,247,270,74,53,33,1504,37,3,1573,33
"SELK",0,1,4,0,37,0,0,8,78,19,48,6,3,51,7,77,0,54,2,10,27,2,0,1,10,20,99,74,17,0,31,8,3,81,2,22,104,32,0,74,3
"ACTR8",1,8,6,0,263,2,1,16,367,65,121,0,1,127,100,218,0,174,0,33,31,24,0,20,57,19,246,253,55,41,5,44,26,50,3,11,242,6,2,196,1
"TBCCD1",1,2,20,1,171,1,0,0,152,86,40,1,1,147,112,111,24,141,2,16,14,28,0,0,30,19,158,86,21,6,8,1,4,12,0,10,211,8,0,117,0
"TIMMDC1",0,1,10,0,183,0,1,0,387,106,101,131,0,270,27,162,0,132,0,75,11,12,0,0,39,7,200,81,31,9,20,29,15,26,21,19,143,20,0,150,1
"CRBN",2,11,1,3,438,7,0,2,361,243,135,28,22,200,69,518,0,202,10,73,4,0,13,0,111,29,472,281,66,29,21,36,56,102,7,7,280,21,1,429,3
"KNG1",0,0,70,0,6,0,0,2,1,2,18,0,1,3,0,13,0,0,1,0,11,0,0,26,0,6,20,0,32,9,21,0,1,53,0,0,4,22,1,0,0
"HRG",0,0,46,0,0,0,0,2,0,1,26,0,24,0,3,0,0,1,4,0,29,8,8,0,1,27,42,0,22,9,26,0,9,46,0,1,1,28,0,0,0
"BCL6",0,7,52,0,374,0,0,1,555,144,376,163,8,200,467,645,27,311,2,97,28,5,4,10,657,19,235,182,9,24,8,26,66,158,7,24,115,18,6,168,1
"HGD",0,0,36,0,10,6,0,0,2,0,40,10,0,8,0,17,0,4,4,0,7,0,0,0,0,22,26,6,11,0,25,0,1,2,0,0,5,39,0,0,0
"CLDN16",0,0,14,0,1,6,0,0,0,3,34,0,0,1,0,0,0,2,1,9,5,0,1,6,0,10,18,0,9,1,9,0,4,49,0,0,0,9,0,0,11
"ARL6",0,0,20,0,47,0,3,0,49,25,17,0,2,30,0,28,0,19,1,17,29,20,0,0,2,0,131,62,10,0,3,20,1,6,2,10,69,3,0,115,16
"NPHP3",1,2,45,2,710,9,0,5,319,348,369,37,9,572,175,497,39,267,0,93,40,33,0,0,176,33,736,418,82,54,34,90,33,48,1,65,596,47,0,627,13
"CD86",0,0,3,2,21,0,0,1,149,2,53,30,10,15,0,10,0,5,1,0,4,0,0,0,0,1,37,4,4,0,4,0,4,78,0,0,48,4,0,8,1
"AMOTL2",2,16,32,3,590,12,0,9,355,227,319,58,4,605,97,261,14,519,18,391,49,0,8,8,37,45,176,91,136,35,33,13,164,92,15,6,113,43,0,45,2
"NIT2",0,2,17,1,211,0,0,15,126,125,139,6,0,64,16,140,0,84,5,5,24,0,0,0,50,6,262,81,69,3,27,20,8,40,26,4,150,33,0,207,8
"FAM162A",0,10,31,0,75,1,0,1,87,40,124,16,3,110,1,159,2,66,1,55,38,20,2,2,30,43,251,153,43,5,22,37,6,52,4,22,120,22,0,217,8
"OGG1",0,0,18,8,521,4,1,48,294,427,309,437,11,461,278,1083,58,966,16,251,55,147,2,2,174,12,892,781,78,99,71,188,178,76,30,123,972,77,1,830,40
"KPNA1",0,5,40,6,811,7,0,29,846,580,356,195,3,962,109,1008,14,658,9,279,20,32,7,6,195,18,1257,385,91,52,48,73,126,93,20,56,717,48,0,1120,2
"PCCB",0,10,50,9,316,2,0,2,268,205,222,79,2,464,93,407,2,343,24,15,19,19,7,2,87,31,385,131,45,19,21,37,47,49,10,20,316,21,0,309,0
"UBE3A",0,17,45,11,1125,3,3,16,1205,458,384,190,15,1023,342,584,101,1182,12,192,29,91,0,0,138,41,1186,865,73,113,26,128,110,88,7,77,864,32,0,1068,2
"ARMC8",0,4,68,4,381,2,0,1,341,239,236,57,2,504,67,417,0,393,23,84,30,18,2,0,134,23,612,271,96,44,52,89,33,145,8,18,479,58,2,551,7
"CEP70",0,0,17,3,104,0,0,0,62,204,151,27,7,288,49,173,0,195,3,54,6,8,1,0,37,5,143,75,44,13,0,11,19,19,14,17,99,0,0,104,0
"RBP2",0,0,4,0,24,0,0,0,12,18,20,0,4,9,2,50,0,3,0,5,0,0,0,0,0,0,26,8,13,0,1,7,3,0,0,0,11,1,0,17,0
"RBP1",0,1,2,2,31,3,0,0,55,51,76,0,9,12,39,51,1,14,5,14,26,71,0,24,4,4,188,274,23,31,11,26,104,132,0,115,184,11,0,172,0
"SLC25A36",0,9,44,1,815,6,0,23,1235,693,315,82,15,787,184,915,3,367,0,145,47,54,2,0,119,50,1157,633,60,38,22,153,129,123,6,65,676,23,1,1066,0
"GRK7",0,0,23,1,4,0,0,1,0,0,32,0,8,4,2,6,0,4,0,0,1,0,0,0,0,0,21,6,24,1,12,0,0,6,0,0,8,12,0,0,0
"RNF7",1,9,16,2,155,3,0,0,374,74,111,104,0,212,107,164,0,167,0,41,10,19,6,31,52,17,235,166,43,12,20,18,70,62,20,26,255,22,0,186,0
"TFDP2",0,4,19,15,594,5,2,2,853,474,187,377,6,1464,318,758,64,488,5,143,19,262,17,1,247,40,1149,341,64,239,42,370,237,58,18,200,871,65,0,1063,0
"XRN1",0,17,90,6,848,2,0,8,1620,646,436,56,18,1388,193,707,25,590,12,231,67,75,0,17,172,47,1365,549,97,123,55,136,72,118,15,73,874,61,8,1168,13
"KAT2B",0,6,32,4,449,0,2,13,162,92,178,41,11,192,110,518,10,295,5,36,75,76,4,12,101,18,1733,1471,67,169,23,92,7,47,5,118,1745,23,1,1673,9
"BCHE",0,0,9,1,1,0,0,6,9,56,54,40,0,35,16,38,0,82,0,0,23,4,3,0,0,0,501,53,21,18,0,120,14,1,0,124,518,0,4,475,0
"SERPINI2",0,0,8,1,0,2,0,0,1,0,18,0,5,3,2,0,0,7,0,0,23,0,2,0,0,8,116,24,19,18,16,16,0,40,8,0,0,16,0,97,0
"PDCD10",2,14,12,0,60,3,0,4,284,50,40,35,5,138,45,124,0,117,16,7,24,0,4,0,2,25,158,68,51,11,16,24,2,82,7,5,90,16,0,97,2
"LRRC31",0,2,18,0,7,0,0,0,2,0,4,0,1,2,0,7,0,0,0,0,19,0,2,0,0,32,12,0,16,6,21,0,6,52,0,0,0,21,0,3,0
"WNT5A",3,6,40,8,96,0,1,1,1366,266,23,108,4,362,289,32,1,55,0,40,21,0,10,3,24,18,81,588,39,13,23,0,208,67,16,0,4,23,1,14,2
"PFKFB4",0,1,6,6,67,0,1,1,135,18,76,72,7,55,220,102,0,100,0,0,20,2,2,28,12,8,133,48,10,22,48,4,23,96,0,130,179,50,11,110,2
"COL7A1",3,45,50,290,511,10,1,102,580,1287,1750,817,40,398,6930,9542,6,6715,50,255,42,18,236,133,26,80,152,236,52,51,149,94,961,130,42,124,45,170,4,37,13
"FGF12",1,0,4,0,12,0,0,0,18,9,41,0,9,41,8,43,0,37,0,0,41,0,0,0,0,4,66,1,52,0,29,20,30,56,8,17,84,29,0,30,0
"PRKAR2A",1,13,13,13,632,11,0,22,1053,205,282,45,4,441,507,921,0,504,1,129,24,114,28,53,249,49,931,716,59,147,23,120,242,83,31,138,948,24,0,810,1
"HES1",1,15,34,4,54,9,1,5,86,8,113,40,0,76,9,62,3,153,0,53,16,15,6,49,15,38,207,331,46,75,17,40,73,39,3,55,329,17,0,152,0
"USP4",0,9,24,6,506,5,0,58,541,264,292,70,0,312,256,674,39,570,8,141,44,158,7,34,257,41,805,601,69,128,33,115,169,117,5,70,722,55,2,752,4
"ACAP2",0,12,83,0,905,1,1,44,1441,309,193,139,15,972,307,615,23,424,12,176,73,45,25,13,102,68,1014,432,141,93,49,113,69,148,20,89,657,71,2,857,2
"ECT2",4,15,52,1,153,0,1,1,557,33,99,93,10,629,65,187,0,220,2,12,27,0,10,2,22,27,178,23,56,8,6,9,12,45,1,6,88,7,1,114,0
"GNAT1",0,1,19,0,0,0,0,1,0,0,33,0,0,0,0,8,0,8,0,0,17,12,0,0,0,7,36,1,6,1,14,0,0,67,0,1,12,14,0,15,0
"GNAI2",3,21,96,16,1046,18,1,101,2101,498,602,297,12,1383,1688,1292,91,1856,1,279,43,181,20,69,945,65,1592,1000,66,221,43,229,459,366,15,316,1897,46,8,1475,19
"TFG",0,17,40,0,371,2,1,12,668,229,179,70,5,719,94,386,53,305,0,179,21,59,7,22,398,28,586,186,68,31,30,103,139,112,7,49,498,48,1,530,0
"USP9Y",0,3,1,1,0,3,0,2,0,1,21,7,1,4,2,1,0,44,1,150,5,3,0,2,179,22,21,1055,30,4,4,3,1,24,1,49,1,4,0,1,0
"HYAL1",0,1,20,2,84,0,0,5,12,50,58,0,0,189,12,109,0,71,0,18,22,28,0,0,8,6,88,51,3,10,24,6,13,49,0,10,51,25,0,65,0
"TUSC2",0,1,13,0,70,4,0,0,121,48,68,0,3,52,8,137,0,82,0,12,0,10,0,1,32,7,389,218,3,25,5,50,9,43,3,38,403,5,0,348,1
"NPRL2",0,11,15,0,163,0,0,1,80,27,95,1,7,78,48,228,1,121,1,27,11,29,6,0,35,21,102,142,18,15,7,20,15,64,1,4,130,17,0,69,1
"RPL24",4,83,41,13,648,30,8,41,1131,363,399,154,38,884,343,592,8,404,9,228,52,74,9,5,210,165,722,534,194,119,42,100,430,448,71,50,602,46,0,552,2
"CYB561D2",0,1,3,0,167,0,0,0,113,33,61,34,4,68,86,125,0,72,0,0,11,4,0,35,51,1,108,144,8,16,8,30,29,12,0,9,81,8,0,91,0
"C3orf14",2,3,2,2,71,0,0,28,75,25,25,7,0,79,1,83,9,54,0,0,32,8,0,0,0,3,78,22,39,8,39,1,13,71,10,0,23,51,0,28,0
"FXR1",0,32,53,5,913,5,0,4,1800,624,320,98,24,1213,334,921,2,566,1,163,80,46,9,42,59,87,877,287,153,57,39,49,134,312,27,79,523,57,2,684,21
"CBLB",1,3,79,2,1480,0,0,36,381,208,359,53,12,412,153,557,81,231,8,551,58,28,2,21,704,4,404,236,80,7,34,27,109,76,5,48,320,55,8,261,21
"BBX",1,17,52,6,963,5,2,6,1135,473,464,227,16,1374,173,1233,2,556,3,278,113,82,1,16,241,89,2154,1078,110,185,62,126,151,139,34,163,1630,67,0,1994,24
"IFT57",0,2,12,2,158,0,0,3,137,91,92,87,0,122,28,82,2,82,6,20,27,137,3,1,67,8,569,204,36,34,8,39,31,40,4,54,272,8,0,525,1
"GNB4",0,5,5,0,325,2,0,1,1581,120,109,104,10,959,253,182,68,542,9,21,20,369,20,20,42,19,1174,578,35,439,25,171,61,35,3,179,932,28,2,1141,21
"HHLA2",0,2,9,0,2,0,0,0,0,0,55,0,0,0,6,1,0,0,7,0,49,0,0,0,0,10,30,0,31,0,29,0,0,47,48,0,1,29,0,11,4
"IQCG",0,0,17,0,206,0,0,1,203,76,121,31,24,122,98,126,7,60,4,32,79,5,0,16,35,22,189,60,58,23,38,46,30,169,0,44,114,60,3,98,6
"GBE1",0,3,17,5,400,1,0,2,451,62,200,0,20,238,58,767,15,455,1,18,10,16,6,1,97,12,153,151,55,26,35,21,49,125,2,42,145,38,2,105,1
"MORC1",0,0,51,0,0,0,0,0,0,2,73,0,0,0,0,4,0,0,1,0,12,4,0,0,8,3,50,0,21,2,5,0,0,4,0,1,0,9,0,1,0
"UMPS",0,12,17,3,102,4,0,0,145,55,116,145,2,118,14,124,0,129,0,11,15,0,0,25,6,36,147,82,37,2,11,17,14,14,8,3,95,11,0,96,16
"NCBP2",0,14,46,2,510,4,0,7,1050,213,103,42,7,840,223,440,49,260,3,133,33,30,1,1,56,42,430,155,56,29,52,57,40,110,4,16,395,57,10,332,20
"SNX4",0,1,21,0,126,2,0,29,128,62,84,55,6,260,6,110,10,65,0,20,19,20,0,12,37,8,177,125,39,45,11,12,14,32,16,2,191,20,0,140,0
"C3orf52",0,2,42,2,22,5,0,5,54,16,105,34,4,11,62,184,0,81,8,4,16,0,1,16,15,15,42,11,41,2,30,2,29,27,2,0,7,30,1,1,4
"FRMD4B",3,30,90,5,422,13,0,28,509,42,140,10,26,496,32,89,0,110,6,54,45,0,2,0,21,60,221,70,118,12,48,47,53,97,9,25,174,75,6,84,4
"SLC41A3",0,7,66,6,199,6,0,0,89,169,176,228,9,231,86,275,0,246,2,24,23,6,0,40,54,18,179,240,35,32,19,67,86,86,2,26,296,19,0,154,10
"ROPN1B",0,0,17,8,25,0,0,8,0,24,52,0,9,2,0,28,0,5,2,0,2,0,10,0,0,13,45,4,18,2,5,0,3,45,0,0,5,5,0,11,0
"PLXNA1",0,10,104,11,1626,15,1,26,2022,376,347,514,22,2675,652,1061,8,945,24,154,29,98,38,135,844,35,629,499,49,187,70,161,975,50,9,175,1306,76,1,542,24
"ATP6V1A",2,17,6,8,283,8,1,2,675,114,213,10,38,593,64,270,0,181,2,72,79,37,1,0,112,59,785,358,129,55,36,25,97,46,38,40,524,45,0,642,3
"ABTB1",0,0,41,0,346,0,6,0,118,344,211,421,11,474,94,672,50,817,7,122,13,131,1,12,60,1,480,302,9,227,40,168,44,22,2,45,463,40,0,452,0
"PODXL2",0,0,11,0,30,6,0,1,22,9,23,199,1,15,0,1,0,13,6,16,7,46,0,0,4,6,64,34,6,39,9,46,153,28,0,15,117,9,0,60,0
"UPK1B",0,18,4,0,23,8,0,0,1,14,56,46,1,3,20,23,0,12,1,11,20,14,2,0,0,49,61,7,67,11,15,2,6,6,4,0,7,16,0,8,0
"CSPG5",1,0,13,0,6,0,0,14,6,15,57,0,2,1,0,33,0,111,0,0,8,0,0,0,0,2,32,2,33,0,34,0,3,111,0,0,1,40,0,10,0
"KLHL18",1,8,20,3,319,6,0,2,346,95,190,120,13,282,141,300,0,219,1,24,21,12,0,14,19,19,401,374,73,45,28,69,56,111,9,14,244,28,2,328,14
"SCAP",0,9,40,2,651,2,0,57,753,344,192,418,10,487,304,825,74,574,10,152,11,98,22,52,195,20,840,1803,34,203,72,172,278,68,15,69,1056,95,7,783,22
"EFCC1",0,0,3,0,38,0,0,0,2,23,6,0,0,19,8,2,0,10,0,1,15,152,0,54,0,0,2676,1566,7,199,25,222,28,79,18,185,1808,25,0,2641,8
"KIAA1257",0,0,25,7,49,0,0,41,3,12,64,36,2,12,3,5,0,4,2,8,32,7,4,20,0,15,383,165,39,57,46,76,5,100,0,35,252,57,0,328,0
"NEK11",0,3,31,0,92,2,0,0,77,47,126,0,7,97,14,75,1,36,6,4,28,0,3,2,32,10,167,45,20,32,22,25,5,58,0,6,120,22,0,139,7
"MRPL3",1,13,52,1,215,0,0,37,312,108,116,104,0,221,40,125,0,189,2,40,35,18,10,5,108,25,232,148,74,23,30,43,73,73,10,26,264,36,0,181,0
"PLSCR4",0,0,21,0,328,0,0,2,277,234,201,1,7,1273,26,241,31,270,0,307,14,46,0,0,102,5,244,121,30,33,9,84,57,41,5,28,243,19,0,224,6
"HEMK1",0,2,31,6,665,0,0,12,494,329,379,94,13,283,325,909,1,407,0,86,37,74,10,58,95,20,643,699,20,62,85,123,87,65,1,157,540,88,2,585,22
"CISH",0,1,34,0,35,0,0,1,58,23,66,89,10,76,22,93,0,110,0,21,5,412,0,22,163,2,1149,1926,28,412,27,256,47,70,0,104,790,29,0,1121,14
"MAPKAPK3",0,53,22,5,65,6,1,7,301,42,160,56,12,161,101,297,12,242,1,15,43,138,9,11,142,82,445,856,85,112,39,77,86,55,16,79,449,44,1,360,14
"ACVR2B",1,14,74,6,349,0,0,40,143,361,239,257,15,169,265,335,6,346,12,249,63,34,11,1,84,49,538,336,69,25,119,50,271,100,1,54,237,127,0,437,10
"WDR48",0,9,33,1,441,2,0,14,404,340,131,47,28,300,133,521,34,222,0,94,29,7,4,2,150,25,517,366,55,54,50,62,69,105,5,29,346,50,0,435,0
"COMMD2",0,1,15,1,128,0,0,0,344,153,79,2,6,448,73,220,0,176,2,73,19,1,1,0,29,6,232,74,39,25,15,27,33,33,7,4,142,15,0,172,1
